2025-04-02 19:50:41,917 - EPOCH ::: 1
2025-04-02 19:50:43,580 - Loss_pi: 6.291127681732178, Loss_v: 0.07115418463945389
2025-04-02 19:50:48,289 - Loss_pi: 6.3074986934661865, Loss_v: 0.11994070932269096
2025-04-02 19:50:52,853 - Loss_pi: 6.245986461639404, Loss_v: 0.11329383651415507
2025-04-02 19:50:57,435 - Loss_pi: 6.185238480567932, Loss_v: 0.1097679827362299
2025-04-02 19:51:01,892 - Loss_pi: 6.1474754333496096, Loss_v: 0.11554113775491714
2025-04-02 19:51:06,315 - Loss_pi: 6.0694113572438555, Loss_v: 0.11208811402320862
2025-04-02 19:51:10,764 - Loss_pi: 5.976464067186628, Loss_v: 0.1120676142828805
2025-04-02 19:51:15,214 - Loss_pi: 5.8772212862968445, Loss_v: 0.11193132866173983
2025-04-02 19:51:19,653 - Loss_pi: 5.76668659845988, Loss_v: 0.10699419346120623
2025-04-02 19:51:24,151 - Loss_pi: 5.649812793731689, Loss_v: 0.10408037379384041
2025-04-02 19:51:28,635 - Loss_pi: 5.506616852500222, Loss_v: 0.10629564049569043
2025-04-02 19:51:33,049 - Loss_pi: 5.377029657363892, Loss_v: 0.10274569379786651
2025-04-02 19:51:37,514 - Loss_pi: 5.281334950373723, Loss_v: 0.10671403259038925
2025-04-02 19:51:42,021 - Loss_pi: 5.206284318651472, Loss_v: 0.10486204709325518
2025-04-02 19:51:46,517 - Loss_pi: 5.118655776977539, Loss_v: 0.10222948491573333
2025-04-02 19:51:51,038 - Loss_pi: 5.049732506275177, Loss_v: 0.10085253324359655
2025-04-02 19:51:55,558 - Loss_pi: 4.970660391975851, Loss_v: 0.09588479108231909
2025-04-02 19:52:00,079 - Loss_pi: 4.893328030904134, Loss_v: 0.09499943121853802
2025-04-02 19:52:04,533 - Loss_pi: 4.81561635669909, Loss_v: 0.09434115053399612
2025-04-02 19:52:08,941 - Loss_pi: 4.767032361030578, Loss_v: 0.09351698560640216
2025-04-02 19:52:13,364 - Loss_pi: 4.717451572418213, Loss_v: 0.09506222419440746
2025-04-02 19:52:17,752 - Loss_pi: 4.680554129860618, Loss_v: 0.09636414008723064
2025-04-02 19:52:22,180 - Loss_pi: 4.641528668610946, Loss_v: 0.09742642639447814
2025-04-02 19:52:26,605 - Loss_pi: 4.604163815577825, Loss_v: 0.09678979023980598
2025-04-02 19:52:30,998 - Loss_pi: 4.569459314346314, Loss_v: 0.09839713864028454
2025-04-02 19:52:35,406 - Loss_pi: 4.5421987771987915, Loss_v: 0.09550186848411193
2025-04-02 19:52:39,813 - Loss_pi: 4.511420179296423, Loss_v: 0.09617932140827179
2025-04-02 19:52:44,166 - Loss_pi: 4.4757439238684515, Loss_v: 0.09748271054455213
2025-04-02 19:52:48,614 - Loss_pi: 4.450049531870875, Loss_v: 0.09792816253571675
2025-04-02 19:52:52,992 - Loss_pi: 4.4333200852076216, Loss_v: 0.09748387411236763
2025-04-02 19:52:57,388 - Loss_pi: 4.425880532110891, Loss_v: 0.09846402392272026
2025-04-02 19:53:01,805 - Loss_pi: 4.402846053242683, Loss_v: 0.0979341366328299
2025-04-02 19:53:06,218 - Loss_pi: 4.382520112124356, Loss_v: 0.09923757161154892
2025-04-02 19:53:10,599 - Loss_pi: 4.3576933285769295, Loss_v: 0.10150584052590762
2025-04-02 19:53:15,026 - Loss_pi: 4.335809223992484, Loss_v: 0.10168029836245945
2025-04-02 19:53:19,440 - Loss_pi: 4.328244136439429, Loss_v: 0.1012510752512349
2025-04-02 19:53:23,816 - Loss_pi: 4.307883436615403, Loss_v: 0.1001792540018623
2025-04-02 19:53:28,220 - Loss_pi: 4.300658746769554, Loss_v: 0.09962929844071991
2025-04-02 19:53:32,718 - Loss_pi: 4.293258550839546, Loss_v: 0.09868699789811404
2025-04-02 19:53:37,270 - Loss_pi: 4.282415604591369, Loss_v: 0.09817088395357132
2025-04-02 19:53:41,769 - Loss_pi: 4.267629483850991, Loss_v: 0.09846369540545999
2025-04-02 19:53:46,205 - Loss_pi: 4.252630120231991, Loss_v: 0.1004398399520488
2025-04-02 19:53:50,670 - Loss_pi: 4.2437849599261614, Loss_v: 0.10094464345033778
2025-04-02 19:53:55,113 - Loss_pi: 4.235920862718062, Loss_v: 0.10143975066867741
2025-04-02 19:53:59,549 - Loss_pi: 4.2248332341512045, Loss_v: 0.1023164689540863
2025-04-02 19:54:03,937 - Loss_pi: 4.217459077420442, Loss_v: 0.10281287133693695
2025-04-02 19:54:08,363 - Loss_pi: 4.202351478820152, Loss_v: 0.1026045800523555
2025-04-02 19:54:12,922 - Loss_pi: 4.195765609542529, Loss_v: 0.10211985108132164
2025-04-02 19:54:17,304 - Loss_pi: 4.186613486737621, Loss_v: 0.10166738684080084
2025-04-02 19:54:21,656 - Loss_pi: 4.171982636451721, Loss_v: 0.10060798577964306
2025-04-02 19:54:26,043 - Loss_pi: 4.170386244268978, Loss_v: 0.10025165573346849
2025-04-02 19:54:30,407 - Loss_pi: 4.161515075426835, Loss_v: 0.09962903787023746
2025-04-02 19:54:34,782 - Loss_pi: 4.153431285102412, Loss_v: 0.09921925311099808
2025-04-02 19:54:39,195 - Loss_pi: 4.153314868609111, Loss_v: 0.09854166078622695
2025-04-02 19:54:43,576 - Loss_pi: 4.142511892318725, Loss_v: 0.0981516069309278
2025-04-02 19:54:48,018 - Loss_pi: 4.131310935531344, Loss_v: 0.09782919134678585
2025-04-02 19:54:52,412 - Loss_pi: 4.124441151033368, Loss_v: 0.0978280966611285
2025-04-02 19:54:56,814 - Loss_pi: 4.117059177365796, Loss_v: 0.0977947614958574
2025-04-02 19:55:01,237 - Loss_pi: 4.111376677529287, Loss_v: 0.09766399790927516
2025-04-02 19:55:05,658 - Loss_pi: 4.1050893266995745, Loss_v: 0.09706242978572846
2025-04-02 19:55:10,090 - Loss_pi: 4.099033570680462, Loss_v: 0.0959600711882603
2025-04-02 19:55:14,770 - EPOCH ::: 2
2025-04-02 19:55:16,237 - Loss_pi: 3.685116767883301, Loss_v: 0.11501922458410263
2025-04-02 19:55:20,677 - Loss_pi: 3.6473166942596436, Loss_v: 0.11126167699694633
2025-04-02 19:55:25,081 - Loss_pi: 3.69513734181722, Loss_v: 0.12012477964162827
2025-04-02 19:55:29,528 - Loss_pi: 3.6895138025283813, Loss_v: 0.12104395404458046
2025-04-02 19:55:34,003 - Loss_pi: 3.654445266723633, Loss_v: 0.10946938991546631
2025-04-02 19:55:38,476 - Loss_pi: 3.6863826910654702, Loss_v: 0.1045833354194959
2025-04-02 19:55:42,971 - Loss_pi: 3.687455177307129, Loss_v: 0.10137089341878891
2025-04-02 19:55:47,400 - Loss_pi: 3.68896421790123, Loss_v: 0.09670914243906736
2025-04-02 19:55:51,836 - Loss_pi: 3.684349616368612, Loss_v: 0.09991760800282161
2025-04-02 19:55:56,276 - Loss_pi: 3.6991092920303346, Loss_v: 0.10067008584737777
2025-04-02 19:56:00,717 - Loss_pi: 3.741145068948919, Loss_v: 0.10288670388135043
2025-04-02 19:56:05,157 - Loss_pi: 3.7241870760917664, Loss_v: 0.10334100325902303
2025-04-02 19:56:09,531 - Loss_pi: 3.7448633083930383, Loss_v: 0.10122986137866974
2025-04-02 19:56:13,902 - Loss_pi: 3.731631636619568, Loss_v: 0.1024094106895583
2025-04-02 19:56:18,261 - Loss_pi: 3.7395235538482665, Loss_v: 0.10306716213623683
2025-04-02 19:56:22,656 - Loss_pi: 3.7365155667066574, Loss_v: 0.10322640230879188
